trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
178,0,178,0,5,388.4836138000246,388.4836138000246,0.010633800004143268,[0.48833333333333334],[-0.16333333333333333],[1],[0],[0],[1.669591300014872],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
179,0,179,0,5,390.1725601000362,390.1725601000362,0.012009199999738485,[0.30083333333333334],[-0.41],[1],[0],[0],[1.3006813999963924],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
180,0,180,0,5,391.4901503000292,391.4901503000292,0.011618399992585182,[0.12166666666666667],[0.16666666666666666],[1],[0],[0],[1.552615099994],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
181,0,181,0,10,393.0690263999859,393.0690263999859,0.021135499991942197,[0.20166666666666666],[0.0975],[1],[0],[0],[1.3234781000064686],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
182,0,182,0,5,394.40257029997883,394.40257029997883,0.010661799984518439,[-0.0925],[0.4175],[1],[0],[0],[1.5527847000048496],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
183,0,183,0,10,395.9830296,395.9830296,0.01935870002489537,[0.3016666666666667],[0.325],[1],[0],[0],[1.3116423999890685],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
184,0,184,0,5,397.30668089998653,397.30668089998653,0.011239599960390478,[-0.25],[-0.17583333333333334],[1],[0],[0],[1.7672222999972291],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
185,0,185,0,5,399.09628070000326,399.09628070000326,0.015528100018855184,[0.1075],[0.0075],[1],[0],[0],[1.579560600046534],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
186,0,186,0,5,400.6842214000062,400.6842214000062,0.010138800018467009,[0.07916666666666666],[0.29],[1],[0],[0],[1.270386199990753],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
187,0,187,0,10,401.9858740000054,401.9858740000054,0.02085639996221289,[0.025833333333333333],[-0.265],[1],[0],[0],[1.358319399994798],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
188,0,188,0,5,403.3516345000244,403.3516345000244,0.011161499947775155,[0.43833333333333335],[0.26],[1],[0],[0],[1.218023199995514],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
189,0,189,0,5,404.58038850000594,404.58038850000594,0.009789799980353564,[-0.415],[-0.07916666666666666],[1],[0],[0],[1.9393178999889642],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
190,0,190,0,10,406.55310780002037,406.55310780002037,0.021285100025124848,[-0.2966666666666667],[-0.2816666666666667],[1],[0],[0],[1.3897401000140235],['target'],001,001,2023-09-28_11h22.42.251,tutorial3,2023.1.3,60.25453926380832,
